Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"FBS","Food Balances (2010-)","024","Angola","645","Food supply quantity (kg/capita/yr)","F2764","Marine Fish, Other","2015","2015","kg","1.92","E","Estimated value"
"FBS","Food Balances (2010-)","028","Antigua and Barbuda","645","Food supply quantity (kg/capita/yr)","F2542","Sugar (Raw Equivalent)","2015","2015","kg","21.05","E","Estimated value"
"FBS","Food Balances (2010-)","028","Antigua and Barbuda","645","Food supply quantity (kg/capita/yr)","F2605","Vegetables, other","2015","2015","kg","47.55","E","Estimated value"
"FBS","Food Balances (2010-)","028","Antigua and Barbuda","645","Food supply quantity (kg/capita/yr)","F2625","Fruits, other","2015","2015","kg","89.02","E","Estimated value"
"FBS","Food Balances (2010-)","028","Antigua and Barbuda","645","Food supply quantity (kg/capita/yr)","F2735","Meat, Other","2015","2015","kg","0.34","E","Estimated value"
"FBS","Food Balances (2010-)","028","Antigua and Barbuda","645","Food supply quantity (kg/capita/yr)","F2764","Marine Fish, Other","2015","2015","kg","21.52","E","Estimated value"
"FBS","Food Balances (2010-)","032","Argentina","645","Food supply quantity (kg/capita/yr)","F2542","Sugar (Raw Equivalent)","2015","2015","kg","40.31","E","Estimated value"
"FBS","Food Balances (2010-)","032","Argentina","645","Food supply quantity (kg/capita/yr)","F2605","Vegetables, other","2015","2015","kg","41.64","E","Estimated value"
"FBS","Food Balances (2010-)","032","Argentina","645","Food supply quantity (kg/capita/yr)","F2625","Fruits, other","2015","2015","kg","18.22","E","Estimated value"
"FBS","Food Balances (2010-)","032","Argentina","645","Food supply quantity (kg/capita/yr)","F2735","Meat, Other","2015","2015","kg","0.98","E","Estimated value"
"FBS","Food Balances (2010-)","032","Argentina","645","Food supply quantity (kg/capita/yr)","F2764","Marine Fish, Other","2015","2015","kg","0.01","E","Estimated value"
"FBS","Food Balances (2010-)","051","Armenia","645","Food supply quantity (kg/capita/yr)","F2542","Sugar (Raw Equivalent)","2015","2015","kg","29.12","E","Estimated value"
"FBS","Food Balances (2010-)","051","Armenia","645","Food supply quantity (kg/capita/yr)","F2605","Vegetables, other","2015","2015","kg","279.06","E","Estimated value"
"FBS","Food Balances (2010-)","051","Armenia","645","Food supply quantity (kg/capita/yr)","F2625","Fruits, other","2015","2015","kg","69.38","E","Estimated value"
"FBS","Food Balances (2010-)","051","Armenia","645","Food supply quantity (kg/capita/yr)","F2735","Meat, Other","2015","2015","kg","0.01","E","Estimated value"
"FBS","Food Balances (2010-)","051","Armenia","645","Food supply quantity (kg/capita/yr)","F2764","Marine Fish, Other","2015","2015","kg","0.2","E","Estimated value"
"FBS","Food Balances (2010-)","036","Australia","645","Food supply quantity (kg/capita/yr)","F2542","Sugar (Raw Equivalent)","2015","2015","kg","34.93","E","Estimated value"
"FBS","Food Balances (2010-)","036","Australia","645","Food supply quantity (kg/capita/yr)","F2605","Vegetables, other","2015","2015","kg","60.3","E","Estimated value"
"FBS","Food Balances (2010-)","036","Australia","645","Food supply quantity (kg/capita/yr)","F2625","Fruits, other","2015","2015","kg","22.63","E","Estimated value"
"FBS","Food Balances (2010-)","036","Australia","645","Food supply quantity (kg/capita/yr)","F2735","Meat, Other","2015","2015","kg","1.09","E","Estimated value"
"FBS","Food Balances (2010-)","036","Australia","645","Food supply quantity (kg/capita/yr)","F2764","Marine Fish, Other","2015","2015","kg","1.94","E","Estimated value"
"FBS","Food Balances (2010-)","040","Austria","645","Food supply quantity (kg/capita/yr)","F2542","Sugar (Raw Equivalent)","2015","2015","kg","41.98","E","Estimated value"
"FBS","Food Balances (2010-)","040","Austria","645","Food supply quantity (kg/capita/yr)","F2605","Vegetables, other","2015","2015","kg","62.48","E","Estimated value"
"FBS","Food Balances (2010-)","040","Austria","645","Food supply quantity (kg/capita/yr)","F2625","Fruits, other","2015","2015","kg","28.22","E","Estimated value"
"FBS","Food Balances (2010-)","040","Austria","645","Food supply quantity (kg/capita/yr)","F2735","Meat, Other","2015","2015","kg","1.18","E","Estimated value"
"FBS","Food Balances (2010-)","040","Austria","645","Food supply quantity (kg/capita/yr)","F2764","Marine Fish, Other","2015","2015","kg","0.8","E","Estimated value"
"FBS","Food Balances (2010-)","031","Azerbaijan","645","Food supply quantity (kg/capita/yr)","F2542","Sugar (Raw Equivalent)","2015","2015","kg","22.66","E","Estimated value"
"FBS","Food Balances (2010-)","031","Azerbaijan","645","Food supply quantity (kg/capita/yr)","F2605","Vegetables, other","2015","2015","kg","102.68","E","Estimated value"
"FBS","Food Balances (2010-)","031","Azerbaijan","645","Food supply quantity (kg/capita/yr)","F2625","Fruits, other","2015","2015","kg","38.73","E","Estimated value"
"FBS","Food Balances (2010-)","031","Azerbaijan","645","Food supply quantity (kg/capita/yr)","F2735","Meat, Other","2015","2015","kg","0","E","Estimated value"
"FBS","Food Balances (2010-)","031","Azerbaijan","645","Food supply quantity (kg/capita/yr)","F2764","Marine Fish, Other","2015","2015","kg","0.03","E","Estimated value"
"FBS","Food Balances (2010-)","044","Bahamas","645","Food supply quantity (kg/capita/yr)","F2542","Sugar (Raw Equivalent)","2015","2015","kg","30.6","E","Estimated value"
"FBS","Food Balances (2010-)","044","Bahamas","645","Food supply quantity (kg/capita/yr)","F2605","Vegetables, other","2015","2015","kg","78.59","E","Estimated value"
"FBS","Food Balances (2010-)","044","Bahamas","645","Food supply quantity (kg/capita/yr)","F2625","Fruits, other","2015","2015","kg","26.58","E","Estimated value"
"FBS","Food Balances (2010-)","044","Bahamas","645","Food supply quantity (kg/capita/yr)","F2735","Meat, Other","2015","2015","kg","0.3","E","Estimated value"
"FBS","Food Balances (2010-)","044","Bahamas","645","Food supply quantity (kg/capita/yr)","F2764","Marine Fish, Other","2015","2015","kg","0.99","E","Estimated value"
"FBS","Food Balances (2010-)","050","Bangladesh","645","Food supply quantity (kg/capita/yr)","F2542","Sugar (Raw Equivalent)","2015","2015","kg","5.83","E","Estimated value"
"FBS","Food Balances (2010-)","050","Bangladesh","645","Food supply quantity (kg/capita/yr)","F2605","Vegetables, other","2015","2015","kg","18.93","E","Estimated value"
"FBS","Food Balances (2010-)","050","Bangladesh","645","Food supply quantity (kg/capita/yr)","F2625","Fruits, other","2015","2015","kg","16.89","E","Estimated value"
"FBS","Food Balances (2010-)","050","Bangladesh","645","Food supply quantity (kg/capita/yr)","F2735","Meat, Other","2015","2015","kg","0","E","Estimated value"
"FBS","Food Balances (2010-)","050","Bangladesh","645","Food supply quantity (kg/capita/yr)","F2764","Marine Fish, Other","2015","2015","kg","1.91","E","Estimated value"
"FBS","Food Balances (2010-)","052","Barbados","645","Food supply quantity (kg/capita/yr)","F2542","Sugar (Raw Equivalent)","2015","2015","kg","53.76","E","Estimated value"
"FBS","Food Balances (2010-)","052","Barbados","645","Food supply quantity (kg/capita/yr)","F2605","Vegetables, other","2015","2015","kg","50.53","E","Estimated value"
"FBS","Food Balances (2010-)","052","Barbados","645","Food supply quantity (kg/capita/yr)","F2625","Fruits, other","2015","2015","kg","19.77","E","Estimated value"
"FBS","Food Balances (2010-)","052","Barbados","645","Food supply quantity (kg/capita/yr)","F2735","Meat, Other","2015","2015","kg","0","E","Estimated value"
"FBS","Food Balances (2010-)","052","Barbados","645","Food supply quantity (kg/capita/yr)","F2764","Marine Fish, Other","2015","2015","kg","13.42","E","Estimated value"
"FBS","Food Balances (2010-)","112","Belarus","645","Food supply quantity (kg/capita/yr)","F2542","Sugar (Raw Equivalent)","2015","2015","kg","25.4","E","Estimated value"
"FBS","Food Balances (2010-)","112","Belarus","645","Food supply quantity (kg/capita/yr)","F2605","Vegetables, other","2015","2015","kg","101.18","E","Estimated value"
"FBS","Food Balances (2010-)","112","Belarus","645","Food supply quantity (kg/capita/yr)","F2625","Fruits, other","2015","2015","kg","26.61","E","Estimated value"
"FBS","Food Balances (2010-)","112","Belarus","645","Food supply quantity (kg/capita/yr)","F2735","Meat, Other","2015","2015","kg","0.23","E","Estimated value"
"FBS","Food Balances (2010-)","112","Belarus","645","Food supply quantity (kg/capita/yr)","F2764","Marine Fish, Other","2015","2015","kg","0.43","E","Estimated value"
"FBS","Food Balances (2010-)","056","Belgium","645","Food supply quantity (kg/capita/yr)","F2542","Sugar (Raw Equivalent)","2015","2015","kg","47.7","E","Estimated value"
"FBS","Food Balances (2010-)","056","Belgium","645","Food supply quantity (kg/capita/yr)","F2605","Vegetables, other","2015","2015","kg","83.68","E","Estimated value"
"FBS","Food Balances (2010-)","056","Belgium","645","Food supply quantity (kg/capita/yr)","F2625","Fruits, other","2015","2015","kg","16.83","E","Estimated value"
"FBS","Food Balances (2010-)","056","Belgium","645","Food supply quantity (kg/capita/yr)","F2735","Meat, Other","2015","2015","kg","1.7","E","Estimated value"
"FBS","Food Balances (2010-)","056","Belgium","645","Food supply quantity (kg/capita/yr)","F2764","Marine Fish, Other","2015","2015","kg","0.51","E","Estimated value"
"FBS","Food Balances (2010-)","084","Belize","645","Food supply quantity (kg/capita/yr)","F2542","Sugar (Raw Equivalent)","2015","2015","kg","42.97","E","Estimated value"
"FBS","Food Balances (2010-)","084","Belize","645","Food supply quantity (kg/capita/yr)","F2605","Vegetables, other","2015","2015","kg","32.94","E","Estimated value"
"FBS","Food Balances (2010-)","084","Belize","645","Food supply quantity (kg/capita/yr)","F2625","Fruits, other","2015","2015","kg","30.98","E","Estimated value"
"FBS","Food Balances (2010-)","084","Belize","645","Food supply quantity (kg/capita/yr)","F2735","Meat, Other","2015","2015","kg","0.25","E","Estimated value"
"FBS","Food Balances (2010-)","084","Belize","645","Food supply quantity (kg/capita/yr)","F2764","Marine Fish, Other","2015","2015","kg","0.33","E","Estimated value"
"FBS","Food Balances (2010-)","204","Benin","645","Food supply quantity (kg/capita/yr)","F2542","Sugar (Raw Equivalent)","2015","2015","kg","7.34","E","Estimated value"
"FBS","Food Balances (2010-)","204","Benin","645","Food supply quantity (kg/capita/yr)","F2605","Vegetables, other","2015","2015","kg","23.42","E","Estimated value"
"FBS","Food Balances (2010-)","204","Benin","645","Food supply quantity (kg/capita/yr)","F2625","Fruits, other","2015","2015","kg","14.52","E","Estimated value"
"FBS","Food Balances (2010-)","204","Benin","645","Food supply quantity (kg/capita/yr)","F2735","Meat, Other","2015","2015","kg","0.87","E","Estimated value"
"FBS","Food Balances (2010-)","204","Benin","645","Food supply quantity (kg/capita/yr)","F2764","Marine Fish, Other","2015","2015","kg","8.68","E","Estimated value"
"FBS","Food Balances (2010-)","068","Bolivia (Plurinational State of)","645","Food supply quantity (kg/capita/yr)","F2542","Sugar (Raw Equivalent)","2015","2015","kg","18.21","E","Estimated value"
"FBS","Food Balances (2010-)","068","Bolivia (Plurinational State of)","645","Food supply quantity (kg/capita/yr)","F2605","Vegetables, other","2015","2015","kg","22.53","E","Estimated value"
"FBS","Food Balances (2010-)","068","Bolivia (Plurinational State of)","645","Food supply quantity (kg/capita/yr)","F2625","Fruits, other","2015","2015","kg","10.61","E","Estimated value"
"FBS","Food Balances (2010-)","068","Bolivia (Plurinational State of)","645","Food supply quantity (kg/capita/yr)","F2735","Meat, Other","2015","2015","kg","1.71","E","Estimated value"
"FBS","Food Balances (2010-)","068","Bolivia (Plurinational State of)","645","Food supply quantity (kg/capita/yr)","F2764","Marine Fish, Other","2015","2015","kg","1.07","E","Estimated value"
"FBS","Food Balances (2010-)","070","Bosnia and Herzegovina","645","Food supply quantity (kg/capita/yr)","F2542","Sugar (Raw Equivalent)","2015","2015","kg","16.23","E","Estimated value"
"FBS","Food Balances (2010-)","070","Bosnia and Herzegovina","645","Food supply quantity (kg/capita/yr)","F2605","Vegetables, other","2015","2015","kg","199.64","E","Estimated value"
"FBS","Food Balances (2010-)","070","Bosnia and Herzegovina","645","Food supply quantity (kg/capita/yr)","F2625","Fruits, other","2015","2015","kg","43.2","E","Estimated value"
"FBS","Food Balances (2010-)","070","Bosnia and Herzegovina","645","Food supply quantity (kg/capita/yr)","F2735","Meat, Other","2015","2015","kg","0.11","E","Estimated value"
"FBS","Food Balances (2010-)","070","Bosnia and Herzegovina","645","Food supply quantity (kg/capita/yr)","F2764","Marine Fish, Other","2015","2015","kg","0.68","E","Estimated value"
"FBS","Food Balances (2010-)","072","Botswana","645","Food supply quantity (kg/capita/yr)","F2542","Sugar (Raw Equivalent)","2015","2015","kg","27.64","E","Estimated value"
"FBS","Food Balances (2010-)","072","Botswana","645","Food supply quantity (kg/capita/yr)","F2605","Vegetables, other","2015","2015","kg","37.29","E","Estimated value"
"FBS","Food Balances (2010-)","072","Botswana","645","Food supply quantity (kg/capita/yr)","F2625","Fruits, other","2015","2015","kg","17.43","E","Estimated value"
"FBS","Food Balances (2010-)","072","Botswana","645","Food supply quantity (kg/capita/yr)","F2735","Meat, Other","2015","2015","kg","12.72","E","Estimated value"
"FBS","Food Balances (2010-)","072","Botswana","645","Food supply quantity (kg/capita/yr)","F2764","Marine Fish, Other","2015","2015","kg","0.07","E","Estimated value"
"FBS","Food Balances (2010-)","076","Brazil","645","Food supply quantity (kg/capita/yr)","F2542","Sugar (Raw Equivalent)","2015","2015","kg","39.38","E","Estimated value"
"FBS","Food Balances (2010-)","076","Brazil","645","Food supply quantity (kg/capita/yr)","F2605","Vegetables, other","2015","2015","kg","25.87","E","Estimated value"
"FBS","Food Balances (2010-)","076","Brazil","645","Food supply quantity (kg/capita/yr)","F2625","Fruits, other","2015","2015","kg","21.74","E","Estimated value"
"FBS","Food Balances (2010-)","076","Brazil","645","Food supply quantity (kg/capita/yr)","F2735","Meat, Other","2015","2015","kg","0.23","E","Estimated value"
"FBS","Food Balances (2010-)","076","Brazil","645","Food supply quantity (kg/capita/yr)","F2764","Marine Fish, Other","2015","2015","kg","0.36","E","Estimated value"
"FBS","Food Balances (2010-)","100","Bulgaria","645","Food supply quantity (kg/capita/yr)","F2542","Sugar (Raw Equivalent)","2015","2015","kg","25.99","E","Estimated value"
"FBS","Food Balances (2010-)","100","Bulgaria","645","Food supply quantity (kg/capita/yr)","F2605","Vegetables, other","2015","2015","kg","49.34","E","Estimated value"
"FBS","Food Balances (2010-)","100","Bulgaria","645","Food supply quantity (kg/capita/yr)","F2625","Fruits, other","2015","2015","kg","21.49","E","Estimated value"
"FBS","Food Balances (2010-)","100","Bulgaria","645","Food supply quantity (kg/capita/yr)","F2735","Meat, Other","2015","2015","kg","0.8","E","Estimated value"
"FBS","Food Balances (2010-)","100","Bulgaria","645","Food supply quantity (kg/capita/yr)","F2764","Marine Fish, Other","2015","2015","kg","0.25","E","Estimated value"
"FBS","Food Balances (2010-)","854","Burkina Faso","645","Food supply quantity (kg/capita/yr)","F2542","Sugar (Raw Equivalent)","2015","2015","kg","8.49","E","Estimated value"
"FBS","Food Balances (2010-)","854","Burkina Faso","645","Food supply quantity (kg/capita/yr)","F2605","Vegetables, other","2015","2015","kg","13.4","E","Estimated value"
"FBS","Food Balances (2010-)","854","Burkina Faso","645","Food supply quantity (kg/capita/yr)","F2625","Fruits, other","2015","2015","kg","4.08","E","Estimated value"
"FBS","Food Balances (2010-)","854","Burkina Faso","645","Food supply quantity (kg/capita/yr)","F2735","Meat, Other","2015","2015","kg","0.46","E","Estimated value"
"FBS","Food Balances (2010-)","854","Burkina Faso","645","Food supply quantity (kg/capita/yr)","F2764","Marine Fish, Other","2015","2015","kg","2.25","E","Estimated value"
"FBS","Food Balances (2010-)","108","Burundi","645","Food supply quantity (kg/capita/yr)","F2542","Sugar (Raw Equivalent)","2015","2015","kg","3.27","E","Estimated value"
"FBS","Food Balances (2010-)","108","Burundi","645","Food supply quantity (kg/capita/yr)","F2605","Vegetables, other","2015","2015","kg","44.94","E","Estimated value"
"FBS","Food Balances (2010-)","108","Burundi","645","Food supply quantity (kg/capita/yr)","F2625","Fruits, other","2015","2015","kg","11.52","E","Estimated value"
"FBS","Food Balances (2010-)","108","Burundi","645","Food supply quantity (kg/capita/yr)","F2735","Meat, Other","2015","2015","kg","0.08","E","Estimated value"
"FBS","Food Balances (2010-)","108","Burundi","645","Food supply quantity (kg/capita/yr)","F2764","Marine Fish, Other","2015","2015","kg","0.59","E","Estimated value"
"FBS","Food Balances (2010-)","132","Cabo Verde","645","Food supply quantity (kg/capita/yr)","F2542","Sugar (Raw Equivalent)","2015","2015","kg","17.32","E","Estimated value"
"FBS","Food Balances (2010-)","132","Cabo Verde","645","Food supply quantity (kg/capita/yr)","F2605","Vegetables, other","2015","2015","kg","42.2","E","Estimated value"
"FBS","Food Balances (2010-)","132","Cabo Verde","645","Food supply quantity (kg/capita/yr)","F2625","Fruits, other","2015","2015","kg","11.93","E","Estimated value"
"FBS","Food Balances (2010-)","132","Cabo Verde","645","Food supply quantity (kg/capita/yr)","F2735","Meat, Other","2015","2015","kg","0.15","E","Estimated value"
"FBS","Food Balances (2010-)","132","Cabo Verde","645","Food supply quantity (kg/capita/yr)","F2764","Marine Fish, Other","2015","2015","kg","0.47","E","Estimated value"
"FBS","Food Balances (2010-)","116","Cambodia","645","Food supply quantity (kg/capita/yr)","F2542","Sugar (Raw Equivalent)","2015","2015","kg","23.05","E","Estimated value"
"FBS","Food Balances (2010-)","116","Cambodia","645","Food supply quantity (kg/capita/yr)","F2605","Vegetables, other","2015","2015","kg","36.48","E","Estimated value"
"FBS","Food Balances (2010-)","116","Cambodia","645","Food supply quantity (kg/capita/yr)","F2625","Fruits, other","2015","2015","kg","9.21","E","Estimated value"
"FBS","Food Balances (2010-)","116","Cambodia","645","Food supply quantity (kg/capita/yr)","F2735","Meat, Other","2015","2015","kg","0","E","Estimated value"
"FBS","Food Balances (2010-)","116","Cambodia","645","Food supply quantity (kg/capita/yr)","F2764","Marine Fish, Other","2015","2015","kg","5.21","E","Estimated value"
"FBS","Food Balances (2010-)","120","Cameroon","645","Food supply quantity (kg/capita/yr)","F2542","Sugar (Raw Equivalent)","2015","2015","kg","8.77","E","Estimated value"
"FBS","Food Balances (2010-)","120","Cameroon","645","Food supply quantity (kg/capita/yr)","F2605","Vegetables, other","2015","2015","kg","61.09","E","Estimated value"
"FBS","Food Balances (2010-)","120","Cameroon","645","Food supply quantity (kg/capita/yr)","F2625","Fruits, other","2015","2015","kg","9.2","E","Estimated value"
"FBS","Food Balances (2010-)","120","Cameroon","645","Food supply quantity (kg/capita/yr)","F2735","Meat, Other","2015","2015","kg","3.31","E","Estimated value"
"FBS","Food Balances (2010-)","120","Cameroon","645","Food supply quantity (kg/capita/yr)","F2764","Marine Fish, Other","2015","2015","kg","2.02","E","Estimated value"
"FBS","Food Balances (2010-)","124","Canada","645","Food supply quantity (kg/capita/yr)","F2542","Sugar (Raw Equivalent)","2015","2015","kg","33.1","E","Estimated value"
"FBS","Food Balances (2010-)","124","Canada","645","Food supply quantity (kg/capita/yr)","F2605","Vegetables, other","2015","2015","kg","74.74","E","Estimated value"
"FBS","Food Balances (2010-)","124","Canada","645","Food supply quantity (kg/capita/yr)","F2625","Fruits, other","2015","2015","kg","26.71","E","Estimated value"
"FBS","Food Balances (2010-)","124","Canada","645","Food supply quantity (kg/capita/yr)","F2735","Meat, Other","2015","2015","kg","0.01","E","Estimated value"
"FBS","Food Balances (2010-)","124","Canada","645","Food supply quantity (kg/capita/yr)","F2764","Marine Fish, Other","2015","2015","kg","0.16","E","Estimated value"
"FBS","Food Balances (2010-)","140","Central African Republic","645","Food supply quantity (kg/capita/yr)","F2542","Sugar (Raw Equivalent)","2015","2015","kg","4.4","E","Estimated value"
"FBS","Food Balances (2010-)","140","Central African Republic","645","Food supply quantity (kg/capita/yr)","F2605","Vegetables, other","2015","2015","kg","19.21","E","Estimated value"
"FBS","Food Balances (2010-)","140","Central African Republic","645","Food supply quantity (kg/capita/yr)","F2625","Fruits, other","2015","2015","kg","4.22","E","Estimated value"
"FBS","Food Balances (2010-)","140","Central African Republic","645","Food supply quantity (kg/capita/yr)","F2735","Meat, Other","2015","2015","kg","4.83","E","Estimated value"
"FBS","Food Balances (2010-)","140","Central African Republic","645","Food supply quantity (kg/capita/yr)","F2764","Marine Fish, Other","2015","2015","kg","0.44","E","Estimated value"
"FBS","Food Balances (2010-)","148","Chad","645","Food supply quantity (kg/capita/yr)","F2542","Sugar (Raw Equivalent)","2015","2015","kg","8.81","E","Estimated value"
"FBS","Food Balances (2010-)","148","Chad","645","Food supply quantity (kg/capita/yr)","F2605","Vegetables, other","2015","2015","kg","5.64","E","Estimated value"
"FBS","Food Balances (2010-)","148","Chad","645","Food supply quantity (kg/capita/yr)","F2625","Fruits, other","2015","2015","kg","6.66","E","Estimated value"
"FBS","Food Balances (2010-)","148","Chad","645","Food supply quantity (kg/capita/yr)","F2735","Meat, Other","2015","2015","kg","0.79","E","Estimated value"
"FBS","Food Balances (2010-)","148","Chad","645","Food supply quantity (kg/capita/yr)","F2764","Marine Fish, Other","2015","2015","kg","0","E","Estimated value"
"FBS","Food Balances (2010-)","152","Chile","645","Food supply quantity (kg/capita/yr)","F2542","Sugar (Raw Equivalent)","2015","2015","kg","44.86","E","Estimated value"
"FBS","Food Balances (2010-)","152","Chile","645","Food supply quantity (kg/capita/yr)","F2605","Vegetables, other","2015","2015","kg","43.59","E","Estimated value"
"FBS","Food Balances (2010-)","152","Chile","645","Food supply quantity (kg/capita/yr)","F2625","Fruits, other","2015","2015","kg","24.89","E","Estimated value"
"FBS","Food Balances (2010-)","152","Chile","645","Food supply quantity (kg/capita/yr)","F2735","Meat, Other","2015","2015","kg","0.66","E","Estimated value"
"FBS","Food Balances (2010-)","152","Chile","645","Food supply quantity (kg/capita/yr)","F2764","Marine Fish, Other","2015","2015","kg","0.01","E","Estimated value"
"FBS","Food Balances (2010-)","159","China","645","Food supply quantity (kg/capita/yr)","F2542","Sugar (Raw Equivalent)","2015","2015","kg","7.32","E","Estimated value"
"FBS","Food Balances (2010-)","159","China","645","Food supply quantity (kg/capita/yr)","F2605","Vegetables, other","2015","2015","kg","310.29","E","Estimated value"
"FBS","Food Balances (2010-)","159","China","645","Food supply quantity (kg/capita/yr)","F2625","Fruits, other","2015","2015","kg","34.82","E","Estimated value"
"FBS","Food Balances (2010-)","159","China","645","Food supply quantity (kg/capita/yr)","F2735","Meat, Other","2015","2015","kg","1.05","E","Estimated value"
"FBS","Food Balances (2010-)","159","China","645","Food supply quantity (kg/capita/yr)","F2764","Marine Fish, Other","2015","2015","kg","1.2","E","Estimated value"
"FBS","Food Balances (2010-)","344","China, Hong Kong SAR","645","Food supply quantity (kg/capita/yr)","F2542","Sugar (Raw Equivalent)","2015","2015","kg","25.57","E","Estimated value"
"FBS","Food Balances (2010-)","344","China, Hong Kong SAR","645","Food supply quantity (kg/capita/yr)","F2605","Vegetables, other","2015","2015","kg","117.95","E","Estimated value"
"FBS","Food Balances (2010-)","344","China, Hong Kong SAR","645","Food supply quantity (kg/capita/yr)","F2625","Fruits, other","2015","2015","kg","27.56","E","Estimated value"
"FBS","Food Balances (2010-)","344","China, Hong Kong SAR","645","Food supply quantity (kg/capita/yr)","F2735","Meat, Other","2015","2015","kg","3.27","E","Estimated value"
"FBS","Food Balances (2010-)","344","China, Hong Kong SAR","645","Food supply quantity (kg/capita/yr)","F2764","Marine Fish, Other","2015","2015","kg","9.92","E","Estimated value"
"FBS","Food Balances (2010-)","446","China, Macao SAR","645","Food supply quantity (kg/capita/yr)","F2542","Sugar (Raw Equivalent)","2015","2015","kg","16.52","E","Estimated value"
"FBS","Food Balances (2010-)","446","China, Macao SAR","645","Food supply quantity (kg/capita/yr)","F2605","Vegetables, other","2015","2015","kg","99.19","E","Estimated value"
"FBS","Food Balances (2010-)","446","China, Macao SAR","645","Food supply quantity (kg/capita/yr)","F2625","Fruits, other","2015","2015","kg","17.65","E","Estimated value"
"FBS","Food Balances (2010-)","446","China, Macao SAR","645","Food supply quantity (kg/capita/yr)","F2735","Meat, Other","2015","2015","kg","0.78","E","Estimated value"
"FBS","Food Balances (2010-)","446","China, Macao SAR","645","Food supply quantity (kg/capita/yr)","F2764","Marine Fish, Other","2015","2015","kg","15.34","E","Estimated value"
"FBS","Food Balances (2010-)","156","China, mainland","645","Food supply quantity (kg/capita/yr)","F2542","Sugar (Raw Equivalent)","2015","2015","kg","6.91","E","Estimated value"
"FBS","Food Balances (2010-)","156","China, mainland","645","Food supply quantity (kg/capita/yr)","F2605","Vegetables, other","2015","2015","kg","314.87","E","Estimated value"
"FBS","Food Balances (2010-)","156","China, mainland","645","Food supply quantity (kg/capita/yr)","F2625","Fruits, other","2015","2015","kg","34.71","E","Estimated value"
"FBS","Food Balances (2010-)","156","China, mainland","645","Food supply quantity (kg/capita/yr)","F2735","Meat, Other","2015","2015","kg","1.06","E","Estimated value"
"FBS","Food Balances (2010-)","156","China, mainland","645","Food supply quantity (kg/capita/yr)","F2764","Marine Fish, Other","2015","2015","kg","1.12","E","Estimated value"
